Model,Vectorizer,Feature_Selection,Accuracy,Precision,Recall,F1-Score,AUC
Logistic Regression,tfidf,pca,0.89625,0.9149214659685864,0.87375,0.8938618925831202,0.8962499999999999
Logistic Regression,tfidf,pls,0.99375,0.9949874686716792,0.9925,0.9937421777221527,0.99375
Logistic Regression,tfidf,kbest,0.876875,0.880201765447667,0.8725,0.8763339610797238,0.876875
Logistic Regression,tfidf,rfe,0.894375,0.899873257287706,0.8875,0.893643801132788,0.8943749999999999
Logistic Regression,tfidf,embedded,0.905,0.9,0.91125,0.9055900621118013,0.9049999999999999
Logistic Regression,glove,pca,0.821875,0.7896512935883014,0.8775,0.8312611012433393,0.8218749999999999
Logistic Regression,glove,pls,0.8425,0.8085585585585585,0.8975,0.8507109004739335,0.8425
Logistic Regression,glove,kbest,0.836875,0.8045197740112995,0.89,0.8451038575667656,0.836875
Logistic Regression,glove,rfe,0.836875,0.8045197740112995,0.89,0.8451038575667656,0.836875
Logistic Regression,glove,embedded,0.836875,0.8045197740112995,0.89,0.8451038575667656,0.836875
Logistic Regression,word2vec,pca,0.845,0.8187066974595842,0.88625,0.851140456182473,0.845
Logistic Regression,word2vec,pls,0.866875,0.8354285714285714,0.91375,0.8728358208955224,0.866875
Logistic Regression,word2vec,kbest,0.866875,0.8489892984542212,0.8925,0.8702010968921389,0.8668750000000002
Logistic Regression,word2vec,rfe,0.866875,0.8489892984542212,0.8925,0.8702010968921389,0.8668750000000002
Logistic Regression,word2vec,embedded,0.866875,0.8489892984542212,0.8925,0.8702010968921389,0.8668750000000002
Logistic Regression,lda,pca,0.805625,0.7794285714285715,0.8525,0.8143283582089553,0.805625
Logistic Regression,lda,pls,0.805625,0.7807118254879449,0.85,0.8138839018551766,0.805625
Logistic Regression,lda,kbest,0.805625,0.7800687285223368,0.85125,0.8141063956963538,0.8056249999999999
Logistic Regression,lda,rfe,0.805625,0.7800687285223368,0.85125,0.8141063956963538,0.8056249999999999
Logistic Regression,lda,embedded,0.805625,0.7800687285223368,0.85125,0.8141063956963538,0.8056249999999999
Random Forest,tfidf,pca,0.894375,0.8760429082240763,0.91875,0.8968883465527762,0.9555242187499999
Random Forest,tfidf,pls,0.983125,0.9777503090234858,0.98875,0.983219390926041,0.9983734375000001
Random Forest,tfidf,kbest,0.866875,0.8566221142162819,0.88125,0.8687615526802218,0.93000234375
Random Forest,tfidf,rfe,0.873125,0.8618181818181818,0.88875,0.8750769230769232,0.9409093749999999
Random Forest,tfidf,embedded,0.87875,0.8695121951219512,0.89125,0.8802469135802469,0.9442906250000002
Random Forest,glove,pca,0.860625,0.8446833930704899,0.88375,0.8637751985339035,0.9336015624999999
Random Forest,glove,pls,0.871875,0.8554360812425329,0.895,0.8747709224190593,0.9409421875000001
Random Forest,glove,kbest,0.875,0.8667481662591687,0.88625,0.8763906056860322,0.9396960937500001
Random Forest,glove,rfe,0.875,0.8667481662591687,0.88625,0.8763906056860322,0.9396960937500001
Random Forest,glove,embedded,0.875625,0.8696186961869619,0.88375,0.8766274023558587,0.9407468750000001
Random Forest,word2vec,pca,0.870625,0.8567990373044525,0.89,0.8730839975475169,0.9390578125
Random Forest,word2vec,pls,0.881875,0.8776266996291718,0.8875,0.8825357364822871,0.953928125
Random Forest,word2vec,kbest,0.891875,0.8884758364312267,0.89625,0.8923459863098941,0.9563984375
Random Forest,word2vec,rfe,0.891875,0.8884758364312267,0.89625,0.8923459863098941,0.9563984375
Random Forest,word2vec,embedded,0.89625,0.8952618453865336,0.8975,0.8963795255930087,0.9562859374999999
Random Forest,lda,pca,0.82625,0.8159806295399515,0.8425,0.8290282902829028,0.9013828125000001
Random Forest,lda,pls,0.823125,0.8203221809169765,0.8275,0.8238954573739888,0.8962546874999999
Random Forest,lda,kbest,0.85125,0.8530150753768844,0.84875,0.8508771929824562,0.914871875
Random Forest,lda,rfe,0.85125,0.8530150753768844,0.84875,0.8508771929824562,0.914871875
Random Forest,lda,embedded,0.849375,0.8560509554140128,0.84,0.84794952681388,0.91468828125
SVM,tfidf,pca,0.89625,0.9138381201044387,0.875,0.8939974457215837,0.9580773437500001
SVM,tfidf,pls,0.99375,0.9949874686716792,0.9925,0.9937421777221527,0.9996125
SVM,tfidf,kbest,0.851875,0.863225806451613,0.83625,0.8495238095238095,0.9125843749999999
SVM,tfidf,rfe,0.863125,0.8691232528589581,0.855,0.8620037807183365,0.9265218749999999
SVM,tfidf,embedded,0.87,0.8681592039800995,0.8725,0.8703241895261846,0.9417429687499999
SVM,glove,pca,0.82375,0.7846153846153846,0.8925,0.8350877192982457,0.88070625
SVM,glove,pls,0.843125,0.8033149171270718,0.90875,0.8527859237536657,0.9017203125
SVM,glove,kbest,0.826875,0.7870472008781558,0.89625,0.8381063705435416,0.8804828125
SVM,glove,rfe,0.826875,0.7857923497267759,0.89875,0.8384839650145772,0.8800953125
SVM,glove,embedded,0.82625,0.7855579868708972,0.8975,0.837806301050175,0.8800718750000001
SVM,word2vec,pca,0.85,0.8125,0.91,0.8584905660377358,0.9139281250000001
SVM,word2vec,pls,0.87125,0.835214446952596,0.925,0.8778173190984578,0.9246328125000001
